Sample,0_Mean_Ang,0_Variance_Ang,0_Skewness_Ang,0_Kurtosis_Ang,0_Standard_dev_Ang,0_Max_Ang,Dyn_Range_Ang,0_Mean_bra,0_Variance_bra,0_Skewness_bra,0_Kurtosis_bra,0_Standard_bra,0_Max_bra,Dyn_Range_bra,0_Mean_thr,0_Variance_thr,0_Skewness_thr,0_Kurtosis_thr,0_Standard_dev_thr,0_Max_thr,Dyn_Range_thr,DRIVER
1,0.558604972,0.170896092,-0.032529399,-1.114459661,0.413395805,1.307642053,1.541463862,0,0,0,-3,0,0,0,0.676931841,1.22E-05,-0.324239628,-1.873362127,0.003488555,0.679931302,0.007141888,0
2,-0.264573434,0.470466283,-0.108305239,-0.588645659,0.685905447,0.963010009,2.73535023,0,0,0,-3,0,0,0,0.593708952,0.010926629,-1.258955881,0.205667957,0.104530516,0.672789414,0.382515261,0
3,-4.168808522,0.783077539,1.397149786,2.307700277,0.884916685,-1.643078302,4.003450501,0,0,0,-3,0,0,0,0.388789889,0.012319629,-0.681400534,0.560381077,0.110993825,0.557768147,0.540500258,0
4,-6.279611689,0.188675328,-0.145459736,-1.471533753,0.434367734,-5.683589017,1.214816631,0,0,0,-3,0,0,0,0.587533098,0.000147448,-0.530776563,-1.470823403,0.012142832,0.597934477,0.036075411,0
5,-4.95220634,1.821852952,0.726792416,-0.891224303,1.349760331,-2.307934725,4.216206064,0,0,0,-3,0,0,0,0.593350391,2.16E-05,-1.148240956,0.519512993,0.004645349,0.597934477,0.01586089,0
6,-1.017128708,0.883442422,-0.339715725,-1.553533191,0.939916178,0.406113339,2.809485559,0.054198495,0.005768636,0.860670342,-1.009130144,0.075951538,0.217306998,0.217306998,0.296945979,0.066787432,-0.178497171,-1.873335761,0.258432645,0.582073587,0.582073587,0
7,-0.233760277,3.75E-07,9.84937059,95.01010101,0.000612239,-0.227668577,0.006153232,0.115356758,0.023148099,0.837950957,-0.862775306,0.152144995,0.440203077,0.440203077,0.172300109,0.052394707,0.786958828,-1.221090846,0.228898902,0.590036527,0.590036527,0
8,0.152782192,0.829749774,-1.586407645,1.614761665,0.910906018,0.824549993,3.289497542,0,0,0,-3,0,0,0,0.62539656,0.000394358,0.188365118,-1.54031514,0.019858443,0.654700637,0.060707078,0
9,-11.23670973,32.06147755,0.374744316,-1.501538303,5.662285541,-2.464947549,14.83599808,0,0,0,-3,0,0,0,0.66054255,3.81E-05,-0.866866073,0.21642998,0.006174625,0.669198607,0.021829228,0
10,-8.407534438,67.48065723,0.397128125,-1.611555508,8.214661114,3.718566601,20.52612637,0,0,0,-3,0,0,0,0.658345543,0,0,-3,0,0.658345543,0,0
11,-0.089734827,1.80513645,0.299271318,-1.214719936,1.343553665,2.437238379,4.292679239,0,0,0,-3,0,0,0,0.659395446,8.83E-06,-1.35906091,1.758648411,0.0029717,0.661976772,0.010934822,0
12,-0.817823082,1.211016807,0.268587405,-1.413333003,1.100462088,1.436888078,3.726351614,0,0,0,-3,0,0,0,0.42521351,0.049823559,-0.552341009,-1.369224542,0.223211916,0.65104195,0.626633997,0
13,0.351380169,0.009438371,0.416797108,-1.271692487,0.09715128,0.516873619,0.270745342,0,0,0,-3,0,0,0,0.137448877,0.002600778,-0.942153278,0.31947974,0.05099782,0.211461215,0.201386463,0
14,0.107311735,0.000802918,4.69485534,20.04166667,0.028335808,0.246128277,0.144600565,0.235743414,0.009171785,-1.468487766,0.665881076,0.095769439,0.311655679,0.311655679,0.002845582,0.000206683,5.112674256,25.25119569,0.01437646,0.093078086,0.093078086,0
15,-0.403259344,0.148713213,-0.068564987,-1.386718358,0.385633522,0.129217121,1.166074229,0.284216834,0.000587307,-0.426801017,-1.326201381,0.024234427,0.311655679,0.065638015,0,0,0,-3,0,0,0,0
16,0.092513302,0.002289935,0.442087529,-1.683442187,0.047853261,0.159983158,0.107681019,0.259219303,7.07E-06,0.628970902,-1.604395604,0.002659726,0.262843899,0.005576301,0,0,0,-3,0,0,0,0
17,0.052302139,4.33E-34,0,-3,2.08E-17,0.052302139,0,0.211427888,0.00062822,0.428569423,-0.443303208,0.025064321,0.257267598,0.100094901,0,0,0,-3,0,0,0,0
